set,model,category,count
test-adversarial,untuned-qwen3-14b,false-deny,141
test-adversarial,untuned-qwen3-14b,invalid:INVALID_OUTPUT,56
test-adversarial,untuned-qwen3-14b,right-decision-wrong-reason:JUVENILE_PROTECTED,21
test-adversarial,untuned-qwen3-14b,right-decision-wrong-reason:VICTIM_DATA_NOT_NECESSARY,18
test-adversarial,untuned-qwen3-14b,right-decision-wrong-reason:RBAC_NO_PERMISSION,16
test-adversarial,untuned-qwen3-14b,right-decision-wrong-reason:SEALED_RECORD,16
test-adversarial,untuned-qwen3-14b,right-decision-wrong-reason:INSUFFICIENT_CLEARANCE,12
test-adversarial,untuned-qwen3-14b,right-decision-wrong-reason:NOT_ASSIGNED,9
test-adversarial,untuned-qwen3-14b,right-decision-wrong-reason:CROSS_JURISDICTION,7
test-adversarial,untuned-qwen3-14b,false-allow,4
test-adversarial,untuned-qwen3-14b,right-decision-wrong-reason:CRED_NOT_ACTIVE,1
test-decision-balanced,untuned-qwen3-14b,false-deny,204
test-decision-balanced,untuned-qwen3-14b,invalid:INVALID_OUTPUT,46
test-decision-balanced,untuned-qwen3-14b,right-decision-wrong-reason:RBAC_NO_PERMISSION,43
test-decision-balanced,untuned-qwen3-14b,right-decision-wrong-reason:JUVENILE_PROTECTED,27
test-decision-balanced,untuned-qwen3-14b,right-decision-wrong-reason:INSUFFICIENT_CLEARANCE,22
test-decision-balanced,untuned-qwen3-14b,right-decision-wrong-reason:VICTIM_DATA_NOT_NECESSARY,15
test-decision-balanced,untuned-qwen3-14b,false-allow,14
test-decision-balanced,untuned-qwen3-14b,right-decision-wrong-reason:SEALED_RECORD,10
test-decision-balanced,untuned-qwen3-14b,right-decision-wrong-reason:NOT_ASSIGNED,9
test-decision-balanced,untuned-qwen3-14b,right-decision-wrong-reason:CROSS_JURISDICTION,5
test-decision-balanced,untuned-qwen3-14b,right-decision-wrong-reason:CRED_NOT_ACTIVE,2
test-multi-rule,untuned-qwen3-14b,right-decision-wrong-reason:RBAC_NO_PERMISSION,89
test-multi-rule,untuned-qwen3-14b,right-decision-wrong-reason:JUVENILE_PROTECTED,30
test-multi-rule,untuned-qwen3-14b,invalid:INVALID_OUTPUT,18
test-multi-rule,untuned-qwen3-14b,right-decision-wrong-reason:SEALED_RECORD,18
test-multi-rule,untuned-qwen3-14b,right-decision-wrong-reason:VICTIM_DATA_NOT_NECESSARY,13
test-multi-rule,untuned-qwen3-14b,right-decision-wrong-reason:CROSS_JURISDICTION,5
test-multi-rule,untuned-qwen3-14b,right-decision-wrong-reason:CRED_NOT_ACTIVE,4
test-multi-rule,untuned-qwen3-14b,right-decision-wrong-reason:NOT_ASSIGNED,2
test-ood-paraphrase,untuned-qwen3-14b,false-deny,105
test-ood-paraphrase,untuned-qwen3-14b,false-allow,28
test-ood-paraphrase,untuned-qwen3-14b,invalid:INVALID_OUTPUT,27
test-ood-paraphrase,untuned-qwen3-14b,right-decision-wrong-reason:INSUFFICIENT_CLEARANCE,18
test-ood-paraphrase,untuned-qwen3-14b,right-decision-wrong-reason:RBAC_NO_PERMISSION,15
test-ood-paraphrase,untuned-qwen3-14b,right-decision-wrong-reason:VICTIM_DATA_NOT_NECESSARY,12
test-ood-paraphrase,untuned-qwen3-14b,right-decision-wrong-reason:JUVENILE_PROTECTED,11
test-ood-paraphrase,untuned-qwen3-14b,right-decision-wrong-reason:SEALED_RECORD,11
test-ood-paraphrase,untuned-qwen3-14b,right-decision-wrong-reason:CROSS_JURISDICTION,7
test-ood-paraphrase,untuned-qwen3-14b,right-decision-wrong-reason:NOT_ASSIGNED,3
test-reason-balanced,untuned-qwen3-14b,false-deny,42
test-reason-balanced,untuned-qwen3-14b,right-decision-wrong-reason:JUVENILE_PROTECTED,41
test-reason-balanced,untuned-qwen3-14b,right-decision-wrong-reason:VICTIM_DATA_NOT_NECESSARY,32
test-reason-balanced,untuned-qwen3-14b,invalid:INVALID_OUTPUT,31
test-reason-balanced,untuned-qwen3-14b,right-decision-wrong-reason:RBAC_NO_PERMISSION,31
test-reason-balanced,untuned-qwen3-14b,right-decision-wrong-reason:INSUFFICIENT_CLEARANCE,30
test-reason-balanced,untuned-qwen3-14b,right-decision-wrong-reason:CROSS_JURISDICTION,25
test-reason-balanced,untuned-qwen3-14b,right-decision-wrong-reason:SEALED_RECORD,24
test-reason-balanced,untuned-qwen3-14b,right-decision-wrong-reason:NOT_ASSIGNED,20
test-reason-balanced,untuned-qwen3-14b,false-allow,19
test-reason-balanced,untuned-qwen3-14b,right-decision-wrong-reason:CRED_NOT_ACTIVE,1
validation-balanced,untuned-qwen3-14b,false-deny,148
validation-balanced,untuned-qwen3-14b,invalid:INVALID_OUTPUT,29
validation-balanced,untuned-qwen3-14b,right-decision-wrong-reason:RBAC_NO_PERMISSION,17
validation-balanced,untuned-qwen3-14b,right-decision-wrong-reason:JUVENILE_PROTECTED,16
validation-balanced,untuned-qwen3-14b,right-decision-wrong-reason:INSUFFICIENT_CLEARANCE,15
validation-balanced,untuned-qwen3-14b,right-decision-wrong-reason:VICTIM_DATA_NOT_NECESSARY,11
validation-balanced,untuned-qwen3-14b,right-decision-wrong-reason:NOT_ASSIGNED,8
validation-balanced,untuned-qwen3-14b,right-decision-wrong-reason:CROSS_JURISDICTION,8
validation-balanced,untuned-qwen3-14b,right-decision-wrong-reason:SEALED_RECORD,7
validation-balanced,untuned-qwen3-14b,false-allow,7
validation-balanced,untuned-qwen3-14b,invalid:UNAVAILABLE,1
