path,type,size_bytes,git_status,sha256,referenced_by_count,referenced_by,likely_role,classification,proposed_action,confidence,notes
.DS_Store,file,12292,ignored,4a8eebe375ab6078b54cdf94b0476746dbd9c2b3d314595fa451d1aab54f8569,0,,macOS Finder metadata,generated-cache,keep-ignored,high,Recreated by Finder; ignored. Not moved because Finder rewrites it immediately.
.blockdemo/cert.txt,file,2085,ignored,91ea7b7e9b710a817564d3c8b885ed1e26f3124dda3bfb8fca6a443891c02fc5,2,experiments/runs/20260915_dias_backend_llm/before/scripts/inspect-ledger.sh; scripts/inspect-ledger.sh,ledger-inspection scratch output,generated-output,move:trashy/generated/,high,Written by ledger inspection; ignored by .gitignore (Generated during ledger inspection).
.blockdemo/latest.block,file,31500,ignored,24ded541f937326ba1e62a0bd7bda13d32259ba00da26555bbed58cb6556de11,2,experiments/runs/20260915_dias_backend_llm/before/scripts/inspect-ledger.sh; scripts/inspect-ledger.sh,ledger-inspection scratch output,generated-output,move:trashy/generated/,high,Written by ledger inspection; ignored by .gitignore (Generated during ledger inspection).
.blockdemo/latest.json,file,53819,ignored,de3682bef0db73ff0b10a57aa043f47ab11f361ffaec40a9e223e608db1bc310,2,experiments/runs/20260915_dias_backend_llm/before/scripts/inspect-ledger.sh; scripts/inspect-ledger.sh,ledger-inspection scratch output,generated-output,move:trashy/generated/,high,Written by ledger inspection; ignored by .gitignore (Generated during ledger inspection).
.bootstrap-logs/ca-up.log,file,921,ignored,84af84689f923614f966e2a9ca95f5124ee46460754519d6aa585722cc279db3,2,experiments/runs/20260915_dias_backend_llm/before/scripts/network-up.sh; scripts/network-up.sh,network bootstrap logs (2026-09-10),generated-output,move:trashy/generated/,medium,Ignored bootstrap logs of the base network; not referenced by any document.
.bootstrap-logs/create-channel.log,file,3662,ignored,a28e0b65b28d04eb3d86a47d4f1f41700aedfcfc92d7de978eb53c6c90de1320,2,experiments/runs/20260915_dias_backend_llm/before/scripts/network-up.sh; scripts/network-up.sh,network bootstrap logs (2026-09-10),generated-output,move:trashy/generated/,medium,Ignored bootstrap logs of the base network; not referenced by any document.
.bootstrap-logs/net-up.log,file,3556,ignored,2d8203d85ee41d90c8b6671307e707beee461f35784503dd3a12c6084d2609ac,2,experiments/runs/20260915_dias_backend_llm/before/scripts/network-up.sh; scripts/network-up.sh,network bootstrap logs (2026-09-10),generated-output,move:trashy/generated/,medium,Ignored bootstrap logs of the base network; not referenced by any document.
.bootstrap-logs/register-enroll.log,file,35606,ignored,3266f7fdc6151ac612a34583a996bee049cd430ce062365707165990b3b10b2a,2,experiments/runs/20260915_dias_backend_llm/before/scripts/network-up.sh; scripts/network-up.sh,network bootstrap logs (2026-09-10),generated-output,move:trashy/generated/,medium,Ignored bootstrap logs of the base network; not referenced by any document.
.claude/launch.json,file,329,modified,4f17fecfe91b559e03ea9897a544a345aaedbec0958358bc27dee7e4d0f304a3,1,reports/iteration/iter_025_requester_interface_and_v5_policy_model.md,local tool launch configuration,canonical-config,keep,medium,
.env,file,1651,ignored,76aab4191581ce1708518f52771a459175a291f86407909958937f42953c9ba8,0,,local environment configuration,local-secret,keep-ignored,high,May hold local secrets; never published. Template is .env.example.
.env.example,file,2375,modified,22b500cf2939236adb824fd8cc89836e32b84b580c0aa8b7d7e2e4a7be60645a,0,,root documentation/configuration,canonical-doc,keep,high,
.gitattributes,file,100,tracked-clean,9880f25e9f7935c962c2d02072d9ef3daf43eadafae1d22526408b1962b97409,0,,root documentation/configuration,canonical-doc,keep,high,
.github/ISSUE_TEMPLATE/bug_report.md,file,517,tracked-clean,836dd8f950924aef443c3eb8635fa22b7533263626d7a7682f8b28939f1f05b1,0,,CI configuration,canonical-config,keep,high,
.github/ISSUE_TEMPLATE/research_evidence.md,file,676,tracked-clean,30d88e69c2a6fdaa9141b127fcea804c50aa2468224d2e360cc5b6b64942bcea,0,,CI configuration,canonical-config,keep,high,
.github/PULL_REQUEST_TEMPLATE.md,file,843,tracked-clean,52f5c8f71e400c2d6ec2b8708c0a12c1323373b6576c18cc37472b6e26adb15b,8,experiments/runs/2026-08-28T04-14-37-157Z_ui_unique_user_latency/config.json; experiments/runs/2026-08-28T04-14-37-157Z_ui_unique_user_latency/run-report.json; experiments/runs/2026-08-28T04-15-05-267Z_ui_unique_user_latency/config.json; experiments/runs/2026-08-28T04-15-05-267Z_ui_unique_user_latency/run-report.json; experiments/runs/2026-08-28T04-18-28-093Z_ui_unique_user_release_layout_ablation/config.json; experiments/runs/2026-08-28T04-18-28-093Z_ui_unique_user_release_layout_ablation/run-report.json (+2 more),CI configuration,canonical-config,keep,high,
.github/dependabot.yml,file,537,tracked-clean,cc98739dfa3656668f2e23b4fa44389b4f227894e5efef49552530dbb7d7ec92,0,,CI configuration,canonical-config,keep,high,
.github/workflows/ci.yml,file,4813,modified,9825d944b9bf606d12554dc921568643c53f6cd17e314a77cc297587c8e737f3,0,,CI configuration,canonical-config,keep,high,
.gitignore,file,2549,modified,c6dab546275e48dc1c3582618c6a24b13ef72179b30071b84c4ac2f33de56961,0,,root documentation/configuration,canonical-doc,keep,high,
AGENTS.md,file,2827,tracked-clean,8aeb8dc262a5dce7810f9f17204866edfc8b374cc6a62edfad22ed92d6c48970,2,CONTRIBUTING.md; docs/github-repository.md,root documentation/configuration,canonical-doc,keep,high,
CITATION.cff,file,1274,modified,621028c52d73c5fc48609bc9d182a0bb148d7df69272ce421e9474b8008132e5,4,.github/workflows/ci.yml; README.md; docs/github-repository.md; reports/iteration/iter_047_dias_bug_sweep.md,root documentation/configuration,canonical-doc,keep,high,
CONTRIBUTING.md,file,2370,modified,25ad439af5a946cc9111674443f29fcb53394cb94ea24fbeaebe64de23b91d3f,10,README.md; docs/github-repository.md; experiments/runs/2026-08-28T04-14-37-157Z_ui_unique_user_latency/config.json; experiments/runs/2026-08-28T04-14-37-157Z_ui_unique_user_latency/run-report.json; experiments/runs/2026-08-28T04-15-05-267Z_ui_unique_user_latency/config.json; experiments/runs/2026-08-28T04-15-05-267Z_ui_unique_user_latency/run-report.json (+4 more),root documentation/configuration,canonical-doc,keep,high,
DIAS latex paper/.DS_Store,file,6148,ignored,68f3be5117744c1a73ee761c525ba97df0b8cee8c9d81e83892c2fcd26cf6744,0,,macOS Finder metadata,generated-cache,keep-ignored,high,Recreated by Finder; ignored. Not moved because Finder rewrites it immediately.
DIAS latex paper/README_OVERLEAF.txt,file,811,untracked,139080ca43f599d88e08257936501b828b7f987195231dc41694bf34a06f3c38,0,,earlier Overleaf download (2026-09-16),superseded-draft,move:trashy/superseded-paper-drafts/,high,Superseded by the 2026-09-17 download; retains supervisor notes later removed on Overleaf.; identical content: Proof reading/README_OVERLEAF.txt; output/overleaf/SEBA_XAI_Overleaf_Package/README_OVERLEAF.txt
DIAS latex paper/dias-refs.bib,file,23461,untracked,5259be3519f9f2c10c43c836f25c18a3a16d15f0ac320830061286e5d0e0abce,1,experiments/plans/20260916_dias_latex_writing_revision.md,earlier Overleaf download (2026-09-16),superseded-draft,move:trashy/superseded-paper-drafts/,high,Superseded by the 2026-09-17 download; retains supervisor notes later removed on Overleaf.; identical content: Proof reading/_pre_review_backup/dias-refs.bib
DIAS latex paper/figures/Architecture.drawio.png,file,248736,untracked,6c5e0095d453be0291fdb1c84a8ff17438ddb2c7eda601db60ba6c7c8385e704,0,,earlier Overleaf download (2026-09-16),superseded-draft,move:trashy/superseded-paper-drafts/,high,Superseded by the 2026-09-17 download; retains supervisor notes later removed on Overleaf.; identical content: Proof reading/figures/Architecture.drawio.png
